ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.16882,0.13368,0.11001,0.23494,0.35255,0.09457
ACN,0.20087,0.15281,0.14979,0.18681,0.30972,0.00000
AEP,0.18457,0.17625,0.19601,0.18645,0.25672,0.00000
AIZ,0.18412,0.18708,0.14978,0.19704,0.28198,0.00000
ALLE,0.26062,0.18992,0.16920,0.16143,0.21883,0.00000
AMAT,0.20947,0.14317,0.16935,0.15352,0.32449,0.00000
AMP,0.14624,0.16206,0.15003,0.21759,0.32408,0.00000
AMZN,0.23706,0.14142,0.17052,0.16605,0.28495,0.00000
AVB,0.13422,0.13819,0.23768,0.23589,0.25402,0.01893
AVY,0.34176,0.17458,0.12864,0.13670,0.21832,0.00000
AXP,0.22823,0.16884,0.13950,0.18520,0.27823,0.00752
BDX,0.16123,0.21195,0.16965,0.24533,0.21184,0.00000
BF-B,0.27804,0.18528,0.12822,0.20475,0.20371,0.00000
BMY,0.23903,0.12146,0.21501,0.19991,0.22459,0.00000
BR,0.28486,0.14770,0.16680,0.20560,0.19504,0.00000
CARR,0.24959,0.19548,0.10486,0.12651,0.32356,0.00000
CDW,0.17018,0.18676,0.14829,0.19667,0.29810,0.00000
CE,0.27518,0.13162,0.13414,0.19994,0.25912,0.00000
CHTR,0.33187,0.13680,0.14609,0.13387,0.25137,0.00000
CNC,0.21966,0.13812,0.16149,0.12347,0.35726,0.00000
CNP,0.12885,0.17407,0.22456,0.22945,0.24307,0.00000
COP,0.21633,0.16068,0.11553,0.11938,0.38808,0.07306
CTAS,0.11846,0.17777,0.18223,0.18496,0.33658,0.00000
CZR,0.38356,0.15688,0.05960,0.06323,0.33673,0.00000
DG,0.23823,0.14360,0.20981,0.14855,0.25981,0.00000
DPZ,0.30232,0.15423,0.09145,0.13284,0.31916,0.00000
DRE,0.24629,0.13540,0.14910,0.17191,0.29730,0.02557
DXC,0.35111,0.13783,0.11303,0.10774,0.29029,0.00000
FB,0.28719,0.13184,0.18810,0.15305,0.23982,0.00000
FTV,0.29465,0.18964,0.16810,0.15956,0.18805,0.00000
GOOG,0.14935,0.15386,0.16581,0.23813,0.29285,0.05579
GPC,0.21942,0.14064,0.14660,0.24976,0.24358,0.00000
HIG,0.20269,0.18681,0.13482,0.14182,0.33386,0.00000
HST,0.22278,0.17045,0.10184,0.23271,0.27222,0.02075
JPM,0.27354,0.18955,0.18947,0.14725,0.20019,0.00000
KR,0.22026,0.12416,0.13466,0.17114,0.34978,0.05049
OGN,0.25801,0.13042,0.13591,0.15996,0.31570,0.00000
PG,0.12650,0.18640,0.21525,0.26593,0.20592,0.00000
PPL,0.19512,0.22010,0.22463,0.21137,0.14878,0.00000
PRU,0.19642,0.17540,0.12074,0.19101,0.31643,0.00000
PYPL,0.39899,0.12164,0.07402,0.12298,0.28237,0.00000
RE,0.15544,0.24574,0.13121,0.20293,0.26468,0.00000
ROL,0.26890,0.12580,0.14495,0.17199,0.28836,0.00000
ROST,0.34930,0.14684,0.14065,0.14656,0.21665,0.00000
UNH,0.13528,0.16937,0.16697,0.23249,0.29589,0.00000
URI,0.22640,0.18291,0.07151,0.14887,0.37031,0.00000
V,0.33441,0.14273,0.13675,0.15788,0.22823,0.00000
VRSK,0.20130,0.13725,0.18498,0.17985,0.29662,0.01437
WRK,0.32542,0.13083,0.12991,0.19280,0.22104,0.00000
XOM,0.22406,0.16448,0.13394,0.15739,0.32013,0.00000
IVV,0.00155,0.14842,0.47164,0.37009,0.00830,0.00000
IWM,0.16790,0.22877,0.19668,0.28769,0.11896,0.00000
